Hostname,Info
sh-racka01.lsi.com,1
sh-racka02.lsi.com,
sh-racka03.lsi.com,
sh-racka04.lsi.com,
sh-racka05.lsi.com,
sh-racka06.lsi.com,
sh-racka07.lsi.com,
sh-racka08.lsi.com,
sh-racka09.lsi.com,
sh-racka10.lsi.com,
sh-racka11.lsi.com,
sh-racka12.lsi.com,
sh-racka13.lsi.com,
sh-racka14.lsi.com,
sh-racka15.lsi.com,
lt-ssdt27-01.lsi.com,
lt-ssdt27-02.lsi.com,
lt-ssdt27-03.lsi.com,
lt-ssdt27-04.lsi.com,
lt-ssdt27-05.lsi.com,
lt-ssdt27-06.lsi.com,
lt-ssdt27-07.lsi.com,
lt-ssdt27-08.lsi.com,
lt-ssdt27-09.lsi.com,
lt-ssdt27-10.lsi.com,
lt-ssdt27-11.lsi.com,
lt-ssdt27-12.lsi.com,
lt-ssdt27-13.lsi.com,
lt-ssdt27-14.lsi.com,
lt-ssdt27-15.lsi.com,
lt-ssdt26-06.lsi.com,
lt-ssdt26-07.lsi.com,
lt-ssdt26-08.lsi.com,
lt-ssdt26-09.lsi.com,
135.24.22.205,
